Identifier # (Ascending Sort Full Name Batch 1),Sex,Address Country,"1. *On a typical weekday, what time do you expec",2. *Which description best reflects your expecta,3. *Which description best reflects your expecta,4. *Are you interested in living in an alcohol f,5a *Do you have a sibling who attends Yale-NUS?,"5b. If yes, would you want to be in the same res",6. *Please state your suite gender preference:
Student 91,M,Singapore,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,No Preference
Student 92,F,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",Yes,No (Proceed to Question 6),,Female Only
Student 93,F,Singapore,12AM to 2AM,"A vibrant, busy social hub where friends frequently visit; studying takes place outside the suite.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 94,M,Singapore,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 95,M,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 96,M,Singapore,10PM to 12AM,"A quiet zone used primarily for studying, resting, and sleeping.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,Yes,,Gender Neutral
Student 97,F,Malaysia,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,Yes,No,No Preference
Student 98,F,Hong Kong S.A.R.,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,No Preference
Student 99,M,New Zealand,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Male Only
Student 100,F,Singapore,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,No Preference
Student 101,F,Sri Lanka,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 102,F,Singapore,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 103,M,United Kingdom,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Male Only
Student 104,F,Italy,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,Female Only
Student 105,F,Philippines,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 106,M,Canada,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,No Preference
Student 107,M,Brazil,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 108,M,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Gender Neutral
Student 109,F,Malaysia,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 110,F,Japan,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,Yes,,No Preference
Student 111,F,Pakistan,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 112,M,New Zealand,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"I don't prioritize cleanliness, unless it is getting out of hand.",No,No (Proceed to Question 6),,No Preference
Student 113,M,South Africa,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,Gender Neutral
Student 114,M,Singapore,After 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 115,F,South Africa,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",Yes,No (Proceed to Question 6),,No Preference
Student 116,M,Uzbekistan,10PM to 12AM,"A quiet zone used primarily for studying, resting, and sleeping.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,No Preference
Student 117,F,Pakistan,After 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 118,F,Bangladesh,Before 10 PM,"A quiet zone used primarily for studying, resting, and sleeping.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 119,F,Indonesia,12AM to 2AM,"A vibrant, busy social hub where friends frequently visit; studying takes place outside the suite.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 120,F,Myanmar,Before 10 PM,"A quiet zone used primarily for studying, resting, and sleeping.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 121,F,Singapore,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",Yes,No (Proceed to Question 6),,Female Only
Student 122,M,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 123,M,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Male Only
Student 124,M,Singapore,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 125,Male,Bangladesh,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Male Only
Student 126,F,Sri Lanka,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 127,F,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 128,M,Singapore,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 129,M,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 130,F,United States,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 131,M,Singapore,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,Gender Neutral
Student 132,M,Belgium,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Male Only
Student 133,F,China,10PM to 12AM,"A quiet zone used primarily for studying, resting, and sleeping.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 134,F,Japan,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),No,Female Only
Student 135,F,Japan,Before 10 PM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,Yes,,Female Only
Student 136,M,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),No,Male Only
Student 137,F,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 138,Male,Pakistan,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,Gender Neutral
Student 139,M,Canada,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Male Only
Student 140,F,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 141,M,Taiwan,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Male Only
Student 142,F,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,Female Only
Student 143,M,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"I don't prioritize cleanliness, unless it is getting out of hand.",No,No (Proceed to Question 6),No,No Preference
Student 144,F,Sri Lanka,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
Student 145,F,Singapore,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 146,F,Singapore,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,No Preference
Student 147,F,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,No Preference
Student 148,F,Mongolia,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 149,F,United States,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 150,F,Japan,Before 10 PM,"A quiet zone used primarily for studying, resting, and sleeping.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",Yes,No (Proceed to Question 6),,Female Only
Student 151,M,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 152,M,Singapore,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),,No Preference
Student 153,M,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",Yes,No (Proceed to Question 6),,Male Only
Student 154,M,Singapore,10PM to 12AM,"A quiet zone used primarily for studying, resting, and sleeping.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,No (Proceed to Question 6),No,Male Only
Student 155,F,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 156,M,Singapore,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 157,F,Singapore,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 158,F,Sri Lanka,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 159,M,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",Yes,No (Proceed to Question 6),,No Preference
Student 160,F,Zimbabwe,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 161,M,Singapore,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
Student 162,M,Singapore,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
Student 163,M,Singapore,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,Yes,,No Preference
Student 164,M,Belarus,12AM to 2AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
Student 165,Female,India,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 166,F,Malaysia,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",Yes,No (Proceed to Question 6),,Female Only
Student 167,Female,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 168,M,Singapore,10PM to 12AM,"A vibrant, busy social hub where friends frequently visit; studying takes place outside the suite.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 169,F,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 170,M,Singapore,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,No Preference
Student 171,F,Hong Kong S.A.R.,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
Student 172,F,Ethiopia,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
Student 173,F,United States,12AM to 2AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",No,Yes,No,Female Only
Student 174,M,Singapore,10PM to 12AM,"A quiet zone used primarily for studying, resting, and sleeping.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,No Preference
Student 175,F,Australia,10PM to 12AM,"A quiet zone used primarily for studying, resting, and sleeping.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",Yes,No (Proceed to Question 6),,Female Only
Student 176,F,Singapore,10PM to 12AM,A spontaneous social space; neither a study hall nor a regular site of activity.,"A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
Student 177,F,Singapore,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Female Only
Student 178,M,China,Before 10 PM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Male Only
Student 179,F,China,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 180,F,Philippines,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",Yes,No (Proceed to Question 6),,Female Only
Student 181,M,China,10PM to 12AM,"A calm environment where human traffic is limited during peak study hours, but more social and busy on weekends.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Male Only
Student 182,M,China,10PM to 12AM,"A quiet zone used primarily for studying, resting, and sleeping.","Cleanliness is a top priority, and every member of the suite plays their part in sharing that responsibility.",Yes,No (Proceed to Question 6),,Male Only
Student 183,M,China,10PM to 12AM,"A quiet zone used primarily for studying, resting, and sleeping.","A small amount of mess is tolerable, but everyone should make the effort to clean up after themselves.",No,No (Proceed to Question 6),,Gender Neutral
